Source,file_path,Missing Info
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/zendesk-ticket-sync-service_old/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/capture-changestreams/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/cloudops-integration-service/templates/eventhub-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/cloudops-integration-service/templates/rabbit-deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/templates/prometheus-operator/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/templates/prometheus-operator/admission-webhooks/deployment/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-image-renderer-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/default-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-dashboard-json-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-sidecars-envvaluefrom-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-affinity-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-dashboard-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-extraconfigmapmounts-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/grafana/ci/with-nondefault-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-windows-exporter/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/ci/serviceport-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/ci/default-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/ci/common-labels-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/ci/port-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/ci/pod-labels-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/prometheus-node-exporter/ci/service-labels-values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/kube-state-metrics/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/kube-prometheus-stack/charts/kube-state-metrics/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/payment-report-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-social-facebook-consumer/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/cms-app-main/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/userkpi-relay/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/notifications-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/inventory-relay-service/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/inventory-relay-service/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/smooth-ui/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-grow-cti-service/templates/deployment-api.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/bees-force-flexible-poc-kpi-relay/templates/deployment.yaml,Missing deployment structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/admin-portal-data-ingestion-mfe/values.yaml,Missing ownershipLabels structure
bees-microservices,/home/ana/ABInbev/workArea/bees-microservices/charts/admin-portal-data-ingestion-mfe/templates/deployment.yaml,Missing deployment structure
